CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	5863.4	"Netherlands
(CCC_CODE： ALL)"	2019
8471	Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included	8.695	509.84	Automatic data processing machines and units thereof	2019
8473	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	8.309	487.2	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	2019
8542	Electronic integrated circuits	8.202	480.89	Electronic integrated circuits	2019
8486	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.	6.416	376.21	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays	2019
8711	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars	5.502	322.63	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars	2019
8714	Parts and accessories of vehicles of headings 87.11 to 87.13	5.196	304.69	Parts and accessories of vehicles of headings 87.11 to 87.13	2019
8517	Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28	4.441	260.4	Telephone sets, including telephones for cellular networks or for other wireless networks	2019
8523	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	4.314	252.97	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2019
7318	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	3.885	227.79	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	2019
8525	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders	3.281	192.37	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus	2019
8712	Bicycles and other cycles (including delivery tricycles), not motorised	3.116	182.7	Bicycles and other cycles (including delivery tricycles), not motorised	2019
8708	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	1.450	85.02	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	2019
3907	Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms	1.277	74.9	Polyacetals, other polyethers and epoxide resins, in primary forms	2019
8457	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	1.233	72.31	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	2019
9506	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools	1.063	62.33	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter	2019
8541	Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED); mounted piezo-electric crystals	0.981	57.54	Diodes, transistors and similar semiconductor devices	2019
8512	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	0.954	55.93	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	2019
8507	Electric accumulators, including separators therefor, whether or not rectangular (including square)	0.873	51.21	Electric accumulators, including separators therefor, whether or not rectangular (including square)	2019
2933	Heterocyclic compounds with nitrogen hetero-atom(s) only	0.846	49.63	Heterocyclic compounds with nitrogen hetero-atom(s) only	2019
8483	Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screw; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)	0.836	49.02	Transmission shafts (including cam shafts and crank shafts) and cranks	2019
8504	Electrical transformers, static converters (for example, rectifiers) and inductors	0.778	45.59	Electrical transformers, static converters (for example, rectifiers) and inductors	2019
8529	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	0.732	42.9	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	2019
4002	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 40.01 with any product of this heading, in primary forms or in plates, sheets or strip	0.712	41.75	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip	2019
8443	Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof	0.677	39.71	Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42	2019
8528	Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus	0.577	33.83	Monitors and projectors, not incorporating television reception apparatus	2019
Others		25.652			
