CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	7665.46	"Netherlands
(CCC_CODE： ALL)"	2022
84733000	Parts and accessories of the machines of heading 84.71	8.855	678.75	Parts and accessories of the machines of heading 84.71	2022
87116020	Cycles with electric motor for propulsion	6.753	517.64	Cycles with electric motor for propulsion	2022
85176200	Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus	6.475	496.33	Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus	2022
85423900	Other electronic integrated circuits	5.325	408.22	Other electronic integrated circuits	2022
27101939	Other diesel fuel	5.256	402.92	Other diesel fuel	2022
84715000	Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units	3.723	285.4	Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit	2022
87149990	Other parts and accessories of vehicles of headings 87.11 to 87.13	3.334	255.57	Other parts and accessories of vehicles of headings 87.11 to 87.13	2022
84718000	Other units of automatic data processing machines	3.167	242.76	Other units of automatic data processing machines	2022
85235100	Solid-state non-volatile storage devices	2.677	205.21	Solid-state non-volatile storage devices	2022
87149120	Other frames and forks, and parts thereof	2.133	163.48	Other frames and forks, and parts thereof	2022
87120010	Bicycles	2.076	159.16	Bicycles	2022
84713000	Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display	1.779	136.35	Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display	2022
73181590	Other screws and bolts, whether or not with their nuts or washers, of iron or steel	1.721	131.93	Other screws and bolts, whether or not with their nuts or washers, of iron or steel	2022
39079910	Polybutylene terephthalate, in primary forms	1.537	117.86	Polybutylene terephthalate, in primary forms	2022
73181600	Nuts, of iron or steel	1.428	109.43	Nuts, of iron or steel	2022
85258021	Digital still image video cameras and digital cameras	1.332	102.09	Digital still image video cameras and digital cameras	2022
85176900	Other apparatus for communication in a wired or wireless network	1.114	85.43	Other apparatus for communication in a wired or wireless network	2022
38260000	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	1.042	79.87	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	2022
84571000	Machining centres	0.914	70.09	Machining centres	2022
29053911	Butylene glycol	0.844	64.73	Butylene glycol	2022
40029990	Other synthetic rubber	0.673	51.63	Other synthetic rubber	2022
73181400	Self-tapping screws, of iron or steel	0.659	50.48	Self-tapping screws, of iron or steel	2022
85423200	Memories	0.651	49.9	Memories	2022
84714100	Other automatic data processing machines, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined	0.620	47.56	Other automatic data processing machines, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined	2022
39072090	Other polyethers, in primary forms	0.600	46.02	Other polyethers, in primary forms	2022
84869000	Parts and accessories of machinery of heading 84.86	0.579	44.41	Parts and accessories of machinery of heading 84.86	2022
84834040	Ball or roller linear side guides	0.549	42.09	Ball or roller linear side guides	2022
95069100	Articles and equipment for general physical exercise, gymnastics or athletics	0.470	36.03	Articles and equipment for general physical exercise, gymnastics or athletics	2022
39073010	Bisphenol a type epoxy resin	0.468	35.9	Bisphenol a type epoxy resin	2022
85258090	Other video camera recorders	0.465	35.63	Other video camera recorders	2022
85122011	Electrical head-lighting and tail-lighting for motor vehicles and motorcycles	0.461	35.32	Electrical head-lighting and tail-lighting for motor vehicles and motorcycles	2022
82055990	Other hand tools	0.452	34.65	Other hand tools	2022
85076000	Lithium-ion accumulators	0.436	33.46	Lithium-ion accumulators	2022
84719090	Other articles of heading 84.71	0.417	31.97	Other articles of heading 84.71	2022
87149490	Other brakes and parts thereof	0.411	31.51	Other brakes and parts thereof	2022
29025000	Styrene	0.403	30.93	Styrene	2022
87141090	Other parts and accessories of motorcycles	0.387	29.7	Other parts and accessories of motorcycles	2022
39053000	Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups	0.384	29.41	Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups	2022
85258010	Television cameras	0.382	29.3	Television cameras	2022
85072000	Other lead-acid accumulator	0.379	29.06	Other lead-acid accumulator	2022
29161200	Esters of acrylic acid	0.379	29.05	Esters of acrylic acid	2022
87149200	Wheel rims and spokes	0.374	28.64	Wheel rims and spokes	2022
82060000	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	0.373	28.59	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	2022
27101911	Kerosene type jet fuel	0.373	28.59	Kerosene type jet fuel	2022
87087090	Other road wheels and parts and accessories thereof	0.356	27.3	Other road wheels and parts and accessories thereof	2022
29336990	Other compounds containing an unfused triazine ring (whether or not hydrogenated) in the structure	0.354	27.11	Other compounds containing an unfused triazine ring (whether or not hydrogenated) in the structure	2022
85437095	Portable battery operated electronic reader for recording and reproducing text, still image or audio file; Portable interactive electronic education devices primarily designed for children	0.350	26.84	Portable battery operated electronic reader for recording and reproducing text, still image or audio file	2022
84439900	Other parts and accessories of articles of this heading	0.350	26.8	Other parts and accessories of articles of this heading	2022
85299090	Other parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	0.338	25.92	Other parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	2022
73151100	Roller chains, of iron or steel	0.322	24.7	Roller chains, of iron or steel	2022
Others		25.097			
