CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	7665.46	"Netherlands
(CCC_CODE： ALL)"	2022
8471	Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included	10.467	802.32	Automatic data processing machines and units thereof	2022
8473	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	8.925	684.16	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	2022
8517	Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28	7.716	591.43	Telephone sets, including telephones for cellular networks or for other wireless networks	2022
8714	Parts and accessories of vehicles of headings 87.11 to 87.13	7.333	562.14	Parts and accessories of vehicles of headings 87.11 to 87.13	2022
8711	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars	6.761	518.29	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars	2022
8542	Electronic integrated circuits	6.018	461.31	Electronic integrated circuits	2022
2710	Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils	5.629	431.51	Petroleum oils and oils obtained from bituminous minerals, other than crude	2022
7318	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	4.371	335.09	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	2022
3907	Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms	3.078	235.96	Polyacetals, other polyethers and epoxide resins, in primary forms	2022
8523	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2.738	209.87	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2022
8525	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders	2.205	169.05	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus	2022
8712	Bicycles and other cycles (including delivery tricycles), not motorised	2.083	159.67	Bicycles and other cycles (including delivery tricycles), not motorised	2022
3826	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	1.042	79.87	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	2022
2905	Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives	0.956	73.3	Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives	2022
4002	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 40.01 with any product of this heading, in primary forms or in plates, sheets or strip	0.924	70.79	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip	2022
8457	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	0.914	70.09	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	2022
8483	Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screw; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)	0.904	69.26	Transmission shafts (including cam shafts and crank shafts) and cranks	2022
8507	Electric accumulators, including separators therefor, whether or not rectangular (including square)	0.861	66.02	Electric accumulators, including separators therefor, whether or not rectangular (including square)	2022
8512	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	0.842	64.57	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	2022
8708	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	0.827	63.36	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	2022
9506	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools	0.778	59.62	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter	2022
8504	Electrical transformers, static converters (for example, rectifiers) and inductors	0.737	56.52	Electrical transformers, static converters (for example, rectifiers) and inductors	2022
8486	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.	0.582	44.59	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays	2022
3926	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	0.570	43.73	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	2022
8543	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	0.544	41.69	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	2022
8205	Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks	0.543	41.63	Hand tools (including glaziers' diamonds), not elsewhere specified or included	2022
8529	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	0.525	40.24	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	2022
2902	Cyclic hydrocarbons	0.479	36.68	Cyclic hydrocarbons	2022
8204	Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles	0.471	36.1	Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches)	2022
2933	Heterocyclic compounds with nitrogen hetero-atom(s) only	0.448	34.37	Heterocyclic compounds with nitrogen hetero-atom(s) only	2022
8443	Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof	0.435	33.38	Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42	2022
2916	Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives	0.418	32.03	Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids	2022
3905	Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms	0.410	31.42	Polymers of vinyl acetate or of other vinyl esters, in primary forms	2022
8528	Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus	0.406	31.15	Monitors and projectors, not incorporating television reception apparatus	2022
7315	Chain and parts thereof, of iron or steel	0.382	29.26	Chain and parts thereof, of iron or steel	2022
8206	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	0.373	28.59	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	2022
