CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	8079.6	"Netherlands
(CCC_CODE： ALL)"	2021
8471	Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included	10.359	836.98	Automatic data processing machines and units thereof	2021
8473	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	8.225	664.53	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	2021
8517	Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28	6.654	537.62	Telephone sets, including telephones for cellular networks or for other wireless networks	2021
8542	Electronic integrated circuits	6.124	494.83	Electronic integrated circuits	2021
8714	Parts and accessories of vehicles of headings 87.11 to 87.13	6.039	487.93	Parts and accessories of vehicles of headings 87.11 to 87.13	2021
8711	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars	5.962	481.67	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars	2021
8523	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	5.622	454.21	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2021
8486	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.	5.085	410.83	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays	2021
7318	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	3.613	291.94	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	2021
3907	Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms	3.043	245.84	Polyacetals, other polyethers and epoxide resins, in primary forms	2021
8525	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders	2.150	173.69	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus	2021
8712	Bicycles and other cycles (including delivery tricycles), not motorised	1.888	152.54	Bicycles and other cycles (including delivery tricycles), not motorised	2021
9506	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools	1.065	86.06	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter	2021
9002	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	0.992	80.12	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	2021
8483	Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screw; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)	0.959	77.44	Transmission shafts (including cam shafts and crank shafts) and cranks	2021
8708	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	0.954	77.06	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	2021
8512	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	0.926	74.79	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	2021
8504	Electrical transformers, static converters (for example, rectifiers) and inductors	0.772	62.37	Electrical transformers, static converters (for example, rectifiers) and inductors	2021
3926	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	0.753	60.81	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	2021
8507	Electric accumulators, including separators therefor, whether or not rectangular (including square)	0.725	58.55	Electric accumulators, including separators therefor, whether or not rectangular (including square)	2021
2710	Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils	0.645	52.11	Petroleum oils and oils obtained from bituminous minerals, other than crude	2021
8529	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	0.618	49.97	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	2021
8457	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	0.615	49.68	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	2021
8543	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	0.574	46.35	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	2021
4002	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 40.01 with any product of this heading, in primary forms or in plates, sheets or strip	0.555	44.85	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip	2021
Others		25.086			
