CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	7665.46	"Netherlands
(CCC_CODE： ALL)"	2022
847330	Parts and accessories of the machines of heading 84.71	8.855	678.75	Parts and accessories of the machines of heading 84.71	2022
871160	With electric motor for propulsion	6.759	518.11	With electric motor for propulsion	2022
851762	Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus	6.475	496.33	Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus	2022
271019	Other	5.629	431.51	Other	2022
854239	Other	5.325	408.22	Other	2022
847150	Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units	3.723	285.4	Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit	2022
871499	Other	3.335	255.62	Other	2022
847180	Other units of automatic data processing machines	3.167	242.76	Other units of automatic data processing machines	2022
852351	Solid-state non-volatile storage devices	2.677	205.21	Solid-state non-volatile storage devices	2022
852580	Television cameras, digital cameras and video camera recorders	2.187	167.63	Television cameras, digital cameras and video camera recorders	2022
871491	Frames and forks, and parts thereof	2.136	163.76	Frames and forks, and parts thereof	2022
871200	Bicycles and other cycles (including delivery tricycles), not motorised	2.083	159.67	Bicycles and other cycles (including delivery tricycles), not motorised	2022
847130	Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display	1.779	136.35	Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display	2022
731815	Other screws and bolts, whether or not with their nuts or washers	1.721	131.93	Other screws and bolts, whether or not with their nuts or washers	2022
390799	Other	1.623	124.41	Other	2022
731816	Nuts	1.428	109.43	Nuts	2022
851769	Other	1.114	85.43	Other	2022
382600	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	1.042	79.87	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	2022
845710	Machining centres	0.914	70.09	Machining centres	2022
290539	Other	0.910	69.75	Other	2022
848340	Gears and gearing, other than toothed wheels, chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers, including torque converters	0.783	60.05	Gears and gearing, other than toothed wheels, chain sprockets and other transmission elements presented separately	2022
850440	Static converters	0.694	53.19	Static converters	2022
851220	Other lighting or visual signalling equipment	0.692	53.06	Other lighting or visual signalling equipment	2022
400299	Other	0.673	51.63	Other	2022
731814	Self-tapping screws	0.659	50.48	Self-tapping screws	2022
854232	Memories	0.651	49.9	Memories	2022
847141	Comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined	0.620	47.56	Comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined	2022
390720	Other polyethers	0.608	46.58	Other polyethers	2022
390730	Epoxide resins	0.585	44.85	Epoxide resins	2022
848690	Parts and accessories	0.579	44.41	Parts and accessories	2022
854370	Other machines and apparatus	0.538	41.26	Other machines and apparatus	2022
392690	Other	0.532	40.78	Other	2022
847190	Other	0.504	38.66	Other	2022
950691	Articles and equipment for general physical exercise, gymnastics or athletics	0.470	36.03	Articles and equipment for general physical exercise, gymnastics or athletics	2022
820559	Other	0.453	34.71	Other	2022
850760	Lithium-ion	0.436	33.46	Lithium-ion	2022
871494	Brakes, including coaster braking hubs and hub brakes, and parts thereof	0.416	31.91	Brakes, including coaster braking hubs and hub brakes, and parts thereof	2022
290250	Styrene	0.403	30.93	Styrene	2022
871410	Of motorcycles  (including mopeds)	0.389	29.78	Of motorcycles  (including mopeds)	2022
390530	Polyvinyl alcohol, whether or not containing unhydrolysed acetate groups	0.384	29.41	Polyvinyl alcohol, whether or not containing unhydrolysed acetate groups	2022
850720	Other lead-acid accumulators	0.379	29.06	Other lead-acid accumulators	2022
291612	Esters of acrylic acid	0.379	29.05	Esters of acrylic acid	2022
871492	Wheel rims and spokes	0.374	28.64	Wheel rims and spokes	2022
820600	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	0.373	28.59	Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale	2022
870870	Road wheels and parts and accessories thereof	0.365	28.01	Road wheels and parts and accessories thereof	2022
293369	Other	0.354	27.11	Other	2022
871493	Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels	0.351	26.91	Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels	2022
844399	Other	0.350	26.8	Other	2022
852990	Other	0.338	25.92	Other	2022
900211	For cameras, projectors or photographic enlargers or reducers	0.327	25.08	For cameras, projectors or photographic enlargers or reducers	2022
Others		22.457			
